iter	Passed	Remaining
733	18634	27647
734	18658	27620
735	18693	27607
736	18725	27593
737	18749	27565
738	18771	27534
739	18793	27504
740	18823	27485
741	18847	27457
742	18874	27435
743	18899	27408
744	18934	27397
745	18958	27370
746	18983	27344
747	19007	27317
748	19037	27298
749	19067	27279
750	19094	27256
751	19116	27225
752	19140	27198
753	19169	27177
754	19197	27156
755	19225	27134
756	19254	27114
757	19280	27089
758	19305	27062
759	19330	27037
760	19354	27009
761	19379	26984
762	19405	26959
763	19429	26931
764	19462	26916
765	19487	26890
766	19514	26867
767	19546	26851
768	19573	26828
769	19598	26802
770	19627	26780
771	19652	26754
772	19683	26736
773	19705	26707
774	19730	26681
775	19757	26656
776	19780	26628
777	19805	26602
778	19830	26576
779	19856	26551
780	19880	26523
781	19906	26499
782	19928	26470
783	19953	26443
784	19975	26413
785	20001	26388
786	20026	26362
787	20048	26332
788	20074	26308
789	20098	26280
790	20123	26254
791	20144	26223
792	20171	26199
793	20200	26179
794	20226	26153
795	20247	26123
796	20271	26096
797	20294	26067
798	20321	26044
799	20345	26017
800	20378	26000
801	20405	25977
802	20430	25951
803	20458	25929
804	20483	25902
805	20510	25879
806	20538	25857
807	20559	25827
808	20581	25797
809	20607	25771
810	20635	25750
811	20661	25724
812	20687	25700
813	20708	25669
814	20730	25639
815	20755	25614
816	20779	25586
817	20802	25557
818	20828	25533
819	20853	25506
820	20882	25485
821	20909	25463
822	20935	25438
823	20957	25408
824	20982	25382
825	21013	25363
826	21039	25338
827	21061	25309
828	21084	25281
829	21114	25260
830	21136	25231
831	21165	25210
832	21202	25198
833	21223	25168
834	21252	25147
835	21281	25125
836	21310	25104
837	21337	25080
838	21369	25062
839	21396	25039
840	21421	25013
841	21447	24988
842	21475	24965
843	21500	24939
844	21527	24916
845	21556	24894
846	21581	24868
847	21606	24842
848	21634	24819
849	21662	24797
850	21686	24770
851	21716	24749
852	21749	24732
853	21776	24709
854	21800	24682
855	21833	24664
856	21860	24641
857	21887	24616
858	21917	24596
859	21945	24573
860	21972	24549
861	21999	24526
862	22027	24503
863	22053	24478
864	22076	24450
865	22106	24429
866	22145	24418
867	22175	24398
868	22200	24372
869	22225	24346
870	22249	24318
871	22278	24296
872	22302	24269
873	22326	24242
874	22360	24226
875	22391	24206
876	22415	24178
877	22445	24158
878	22474	24136
879	22506	24118
880	22530	24090
881	22557	24066
882	22580	24038
883	22615	24022
884	22643	23999
885	22666	23971
886	22690	23944
887	22717	23919
888	22741	23892
889	22767	23867
890	22793	23842
891	22819	23816
892	22846	23793
893	22876	23771
894	22901	23745
895	22930	23723
896	22955	23697
897	22987	23678
898	23013	23653
899	23040	23628
900	23069	23606
901	23094	23580
902	23120	23555
903	23149	23533
904	23177	23510
905	23201	23483
906	23228	23459
907	23253	23432
908	23279	23407
909	23313	23390
910	23343	23368
911	23365	23340
912	23400	23323
913	23430	23302
914	23462	23282
915	23488	23257
916	23513	23231
917	23541	23207
918	23565	23180
919	23593	23157
920	23621	23133
921	23652	23113
922	23676	23086
923	23701	23059
924	23725	23032
925	23752	23008
926	23781	22986
927	23811	22964
928	23835	22937
929	23865	22915
930	23903	22902
931	23930	22877
932	23955	22851
933	23982	22826
934	24018	22811
935	24050	22791
936	24081	22770
937	24106	22744
938	24131	22717
939	24154	22690
940	24188	22671
941	24211	22643
942	24239	22620
943	24264	22593
944	24294	22572
945	24326	22552
946	24349	22523
947	24373	22496
948	24398	22470
949	24423	22444
950	24445	22415
951	24473	22391
952	24500	22367
953	24523	22338
954	24550	22314
955	24573	22286
956	24599	22260
957	24623	22232
958	24650	22208
959	24677	22184
960	24700	22156
961	24725	22129
962	24757	22109
963	24786	22086
964	24813	22062
965	24841	22038
966	24866	22012
967	24896	21990
968	24926	21967
969	24956	21946
970	24984	21922
971	25013	21899
972	25040	21874
973	25065	21848
974	25092	21824
975	25118	21798
976	25144	21772
977	25172	21749
978	25199	21724
979	25222	21696
980	25249	21671
981	25275	21645
982	25303	21622
983	25332	21599
984	25357	21572
985	25385	21549
986	25412	21524
987	25449	21508
988	25475	21482
989	25499	21455
990	25528	21432
991	25554	21407
992	25587	21387
993	25617	21364
994	25642	21338
995	25666	21311
996	25697	21289
997	25720	21261
998	25750	21239
999	25783	21219
1000	25811	21195
1001	25838	21171
1002	25865	21146
1003	25890	21120
1004	25921	21098
1005	25950	21074
1006	25976	21049
1007	26002	21024
1008	26032	21001
1009	26059	20976
1010	26084	20950
1011	26110	20924
1012	26138	20900
1013	26164	20874
1014	26194	20852
1015	26222	20828
